district,state,women_literacy_pct,women_married_early_pct,institutional_births_pct,full_vaccination_pct,stunting_pct,wasting_pct,severe_wasting_pct,underweight_pct,overweight_pct,child_anaemia_pct,women_anaemia_pct,women_diabetes_pct,men_diabetes_pct,women_hypertension_pct,men_hypertension_pct,women_tobacco_pct,men_tobacco_pct,women_alcohol_pct,men_alcohol_pct,clean_fuel_pct,sanitation_pct
Nicobars,Andaman & Nicobar Islands,87.5,11.4 ,97.8,(64.2),21.6 ,15.7 ,7.8 ,24.6 ,1.5 ,37.7 ,38.3,3.9,4.4,35.4,47.0,63.5,76.8,29.6,64.5,56.9,83.5
North & Middle Andaman ,Andaman & Nicobar Islands,84.0,15.4 ,97.7,*,27.0 ,27.0 ,8.3 ,42.8 ,0.8 ,30.4 ,62.1,6.4,6.9,27.4,32.2,46.8,70.5,5.1,45.3,61.3,86.4
South Andaman ,Andaman & Nicobar Islands,86.7,17.1 ,99.5,(76.3),21.1 ,12.6 ,3.5 ,17.4 ,7.2 ,43.4 ,57.7,9.5,7.8,23.0,26.9,19.6,50.8,1.7,32.8,91.9,89.3
Srikakulam ,Andhra Pradesh,64.3,25.4 ,97.9,(82.8),19.7 ,19.5 ,7.4 ,21.4 ,4.5 ,59.6 ,62.6,7.8,8.6,22.1,22.9,7.1,21.3,0.6,28.3,74.7,71.6
Vizianagaram ,Andhra Pradesh,58.3,33.7 ,99.0,(76.8),36.4 ,19.2 ,8.3 ,32.2 ,4.7 ,66.7 ,64.0,7.0,7.5,25.2,25.1,11.4,21.5,0.8,32.3,60.3,61.7
Visakhapatnam ,Andhra Pradesh,69.5,25.4 ,95.3,(76.5),31.0 ,21.5 ,11.2 ,33.5 ,4.8 ,72.6 ,58.0,8.6,8.5,23.9,29.2,6.3,22.8,1.3,30.2,72.9,77.8
East Godavari ,Andhra Pradesh,77.9,26.0 ,96.6,(59.0),23.1 ,14.3 ,3.8 ,22.4 ,3.4 ,66.8 ,63.0,12.7,15.5,29.0,32.2,3.2,25.5,0.7,25.9,80.3,77.7
West Godavari ,Andhra Pradesh,77.0,22.1 ,98.7,(80.0),31.4 ,11.7 ,4.7 ,22.5 ,5.2 ,62.3 ,63.0,13.1,10.4,28.8,31.4,2.2,21.8,0.2,23.6,86.8,80.8
Krishna ,Andhra Pradesh,76.9,25.3 ,98.9,(90.0),29.8 ,14.3 ,5.2 ,21.1 ,4.2 ,65.7 ,60.3,13.4,11.9,24.0,28.5,1.4,21.3,0.4,22.8,89.8,79.1
Guntur ,Andhra Pradesh,68.5,35.4 ,98.6,(76.2),23.8 ,17.8 ,8.1 ,26.9 ,3.6 ,59.3 ,59.5,13.0,13.4,25.8,31.3,1.6,25.4,0.2,24.5,91.7,83.4
Prakasam ,Andhra Pradesh,62.8,37.3 ,97.4,(51.9),22.6 ,8.7 ,3.3 ,24.7 ,5.1 ,62.6 ,60.4,12.6,15.3,27.8,33.0,2.2,28.2,0.3,19.0,90.8,78.4
Sri Potti Sriramulu Nello ,Andhra Pradesh,70.5,23.8 ,97.0,65.3 ,29.2 ,17.2 ,6.9 ,27.8 ,0.5 ,67.5 ,59.4,12.3,12.7,23.0,25.1,4.4,26.5,0.3,25.9,84.6,81.8
Y.S.R. ,Andhra Pradesh,63.8,25.6 ,99.4,83.0 ,34.4 ,14.1 ,4.2 ,26.7 ,0.2 ,60.6 ,56.1,8.7,10.6,23.2,27.3,3.1,18.0,0.2,16.0,94.3,85.4
Kurnool ,Andhra Pradesh,57.0,36.9 ,88.5,67.0 ,50.5 ,16.7 ,6.0 ,46.3 ,1.1 ,70.8 ,58.6,6.9,10.2,27.0,31.8,2.1,19.9,0.4,20.0,78.1,73.5
Anantapur ,Andhra Pradesh,63.6,37.3 ,94.7,(81.8),36.0 ,19.3 ,4.0 ,40.6 ,0.3 ,55.8 ,50.5,7.8,8.3,23.4,26.7,5.0,20.5,0.6,16.8,86.4,71.3
Chittoor ,Andhra Pradesh,69.3,28.1 ,97.1,(66.6),27.1 ,14.8 ,6.3 ,27.9 ,0.5 ,54.9 ,51.8,8.4,12.3,22.7,27.1,4.3,18.7,0.4,18.3,86.6,74.6
Tawang ,Arunachal Pradesh,59.1,11.9 ,84.2,67.5 ,30.4 ,7.1 ,1.9 ,9.0 ,21.1 ,89.6 ,59.1,0.7,1.6,30.3,36.4,5.1,24.0,23.4,43.2,88.1,81.7
West Kameng ,Arunachal Pradesh,73.7,12.5 ,93.6,(56.2),24.2 ,23.2 ,11.9 ,13.4 ,15.5 ,66.6 ,37.4,0.7,1.6,19.8,30.7,13.9,38.7,19.5,45.9,88.9,88.9
East Kameng ,Arunachal Pradesh,62.2,26.5 ,76.0,60.8 ,35.7 ,15.8 ,8.5 ,14.2 ,10.2 ,51.7 ,26.2,4.0,6.3,19.5,29.0,24.9,48.2,27.4,49.8,49.5,75.6
Papum Pare ,Arunachal Pradesh,78.2,25.4 ,88.0,60.7 ,29.7 ,9.0 ,5.0 ,15.6 ,9.1 ,53.4 ,38.4,3.0,6.5,20.6,32.7,16.1,43.7,16.1,42.7,81.3,75.7
Upper Subansiri ,Arunachal Pradesh,64.3,26.7 ,77.0,68.5 ,36.8 ,12.2 ,8.1 ,19.2 ,9.0 ,60.4 ,36.7,2.2,3.3,25.4,37.5,19.8,55.3,42.8,65.6,32.8,80.9
Upper Siang ,Arunachal Pradesh,74.4,17.1 ,76.0,(61.4),30.4 ,12.5 ,5.0 ,12.0 ,13.5 ,51.0 ,29.2,2.9,4.2,26.1,31.7,21.3,59.2,22.0,61.2,36.3,91.8
Changlang ,Arunachal Pradesh,77.6,16.8 ,75.1,70.9 ,26.3 ,16.3 ,8.3 ,25.0 ,3.9 ,65.3 ,57.2,3.1,4.3,22.8,27.5,21.9,59.9,30.0,60.9,34.1,82.3
Lower Subansiri ,Arunachal Pradesh,76.8,16.0 ,89.8,(66.5),30.7 ,11.5 ,5.9 ,8.1 ,14.4 ,52.4 ,40.5,3.6,5.0,25.7,36.6,18.0,46.7,16.8,48.1,60.8,82.8
Dibang Valley ,Arunachal Pradesh,77.8,20.7 ,85.5,(90.7),16.9 ,18.1 ,7.8 ,16.0 ,4.6 ,88.6 ,62.9,5.2,6.2,32.2,45.4,20.3,55.4,27.9,64.3,49.3,95.0
Lower Dibang Valley ,Arunachal Pradesh,81.6,13.8 ,90.1,73.8 ,14.3 ,7.6 ,2.9 ,9.7 ,5.0 ,51.5 ,34.6,4.1,5.9,25.6,38.1,20.6,52.1,20.3,48.7,57.4,89.9
Anjaw ,Arunachal Pradesh,67.9,21.8 ,78.0,(93.0),23.6 ,14.3 ,7.5 ,16.0 ,2.9 ,57.1 ,35.9,8.7,10.7,31.1,42.6,22.1,66.1,31.6,68.4,29.0,86.8
East Siang ,Arunachal Pradesh,83.8,14.9 ,90.8,(48.8),24.6 ,8.6 ,4.2 ,10.3 ,9.0 ,51.5 ,35.2,3.4,4.4,29.7,38.1,24.7,51.3,18.8,50.7,52.4,83.9
Kra Daadi ,Arunachal Pradesh,55.3,24.8 ,73.5,(63.6),28.8 ,9.4 ,5.7 ,14.5 ,20.2 ,62.0 ,22.6,0.9,0.5,19.4,26.1,9.9,25.0,11.5,34.8,78.3,89.3
Kurung Kumey ,Arunachal Pradesh,76.5,19.8 ,69.2,(71.4),29.2 ,15.1 ,5.3 ,13.9 ,5.8 ,62.4 ,34.8,1.9,2.4,19.2,26.0,16.4,39.4,27.5,50.2,57.3,78.3
Lohit ,Arunachal Pradesh,73.4,20.0 ,90.2,(74.0),24.5 ,12.7 ,4.9 ,12.9 ,7.6 ,52.5 ,47.2,4.8,4.6,22.1,26.6,17.8,53.0,20.9,50.0,63.9,83.7
Longding ,Arunachal Pradesh,71.9,7.9 ,64.5,52.7 ,15.8 ,20.6 ,14.2 ,13.8 ,4.2 ,38.4 ,34.1,4.9,6.7,20.5,31.1,16.0,56.1,21.8,55.2,22.4,83.5
Namsai ,Arunachal Pradesh,67.1,26.7 ,63.6,67.2 ,28.7 ,12.4 ,4.2 ,17.7 ,6.2 ,59.2 ,58.6,3.0,3.9,27.1,28.1,25.3,68.8,28.4,61.6,28.7,75.1
Siang ,Arunachal Pradesh,87.4,10.0 ,81.1,(60.3),21.3 ,12.1 ,7.0 ,8.8 ,13.0 ,24.9 ,23.9,2.5,4.4,24.4,31.5,19.6,55.5,27.3,60.6,27.6,91.2
