State/UT,Infant Mortality Rate (2020)
India,28
Andhra Pradesh,24
Andaman and Nicobar Islands,7
Arunachal Pradesh,21
Assam,36
Bihar,27
Chandigarh,8
Chhattisgarh,38
Dadra and Nagar Haveli and Daman and Diu,16
Delhi,12
Goa,5
Gujarat,23
Haryana,28
Himachal Pradesh,17
Jammu and Kashmir,17
Jharkhand,25
Karnataka,19
Kerala,6
Ladakh,16
Lakshadweep,9
Madhya Pradesh,43
Maharashtra,16
Manipur,6
Meghalaya,29
Mizoram,3
Nagaland,4
Odisha,36
Puducherry,6
Punjab,18
Rajasthan,32
Sikkim,5
Tamil Nadu,13
Telangana,21
Tripura,18
Uttar Pradesh,38
Uttarakhand,24
West Bengal,19
